name,text,,,
strategy_and_execution_vision_1,"There are diverse perspectives about what a digital bank means reflecting a lack of alignment and common vision about where the business needs to go. This often results in piecemeal initiatives or misguided efforts that lead to missed opportunities, sluggish performance and false starts of the digitak bank",,,
strategy_and_execution_vision_2,"Bank leaders may have a clear and common understanding
of exactly what digital means to them and, as a result, what it means to their business and articulated in any position document but it is somewhat theoretical and not translated into an actionable plan for implementation",,,
strategy_and_execution_vision_3,"Being digital is about using data to make better and faster decisions, devolving decision making to smaller teams, and developing much more iterative and rapid ways of doing things. 
Cross functional teams share the same rooms fostering creativity 
Thinking in a digital way is not limited to just a handful of functions. It incorporates a broad swath of how the bank operate, including creatively partnering with external companies to extend necessary capabilities. The bank's digital mind-set institutionalizes cross-functional collaboration, flattens hierarchies, and builds environments to encourage the generation of new ideas. Incentives and metrics are developed to support such decision-making agility.
                       The organizational culture is perceived as ""agile"": quick to mobilize, nimble, collaborative, easy to get things done, responsive, flow of information, quick decision making, empowered to act, resilient, learning from failures.
                       They are able to support the cultural shift.",,,
strategy_and_execution_strategy_formulation_1,"The digital strategy is more ""evolutionary"" than ""revolutionary"", it focuses on a few areas of the existing business model, in particular: 
- Customer engagement: migrating to direct digital channels; the bank is providing a seamless online and offline channel experience.
- Ecosystem network engagement: extending the network of business partners developping limited new digital affiliate partnerships
-Employee engagement: providing employees with effective tools for collaboration 
The strategy is formalised around the points described. 
Top management counts with enough market intelligence to identify competitors, define a SWOT analysis and define business targets.",,,
strategy_and_execution_strategy_formulation_2,"The digital strategy starts to become more ""revolutionary"", than evolutionary; it focuses on more areas of the existing business model on top of the ones described already in particular: 
- Customer engagement: Developing deeper customer understanding from multiple internal and external data sources. Using customer analytics for next-best offer proposition and enhanced customer profitability management. Creating multiple mechanisms for instantaneous collaboration and exchange with and between customers.
- Ecosystem network engagement:Creating cross-industry customer data sources often through loyalty schemes. Positioning third- party offers and services in extension to own services.
-Employee engagement: Implementing new intelligent communications platforms, developing
a continuous innovation capability. Introducing new mobile solutions for field workforce, providing remote working solutions.
-Automation and efficiency: Automating and simplifying front-end and back-end processes, extending customer self-servicing, automating customer servicing and order management. Introducing remote monitoring
and tracking solutions. 
- Content: Creating personalized interfaces, providing real-time and instantaneous interaction, providing configuration and collaboration functionalities. 
The strategy is formalised around the points described. Top management is able to articulate targets around broad areas described above",,,
strategy_and_execution_strategy_formulation_3,"The digital strategy is truly ""revolutionary"". It focuses on a new business model to become a game changer in the financial industry, in particular besides the features described in ""formative"" and ""emerging"" digital strategies, the Bank also develops: 
- Customer communities:Identifying and empowering customer communities around common interests and needs. Leveraging crowd intelligence and power by enabling customers to communicate with each other and the bank.
- Creative service partners: Developing a platform approach (mostly open source) enabling service partners to develop and sell services and products. Extending the bank’s products and service portfolio through service partners creating a broader customer experience
and tie-in. 
-Information networks: Developing information networks based on internal and external data and content sources (including connected devices/IOT). Motivating customers to share information and intelligence creating win-win propositions
-Bridging ""bricks and bits"": Creating a seamless experience and offer between the physical and the digital world. Integrating hardware and software offerings to drive customer choice and purchase. Merging digital and physical into a hybrid experience.
The strategy is formalised around the points described. 
Top management can articulate targets around all areas describe micro-action plans for each of them",,,
strategy_and_execution_management_committment_1,"Pressure to change comes fom outside. Whiel bank management may understand the need to digitize, there is little or no action Government pressure/incentives, sometimes corporate citizenship, are the only drivers for the entity to develop offers for risk of social/financial inclusion customers (e.g. pensioneers, low income, etc); The Bank has enough growth opportunities for digital not to be a priority ",,,
strategy_and_execution_management_committment_2,"The Bank's managemetn is committed to digital transformation. It sees the market pressure and understands the opportuntiies technology brings; wether internal processes, channels and / or through partnerships to gorw the business",,,
strategy_and_execution_management_committment_3,The Management sees digital as an opportunity to drive revenue and customer growth over time,,,
strategy_and_execution_execution_capability_1,"The digital bank area is understaffed and does not have formal agile methodologies. Most of the people in the digital bank comes from the ""traditional bank"" without a formal assessment of digital capabilities 
Digital Projects are not developed as distinct pieces of work, and are instead managed within existing workloads. 
There is no governance on project delivery, and cost, time and quality is not tracked. Projects routinely do not get delivered or are not delivered to expectation.  ",,,
strategy_and_execution_execution_capability_2,"Digital Projects are identified and managed as distinct pieces of work. Agile  methodologies are applied, but these are informal and reflective of the experience of the project manager, rather than documented processes. 
Projects are tracked for cost, time and quality, however projects are often not delivered to expectation. ",,,
strategy_and_execution_execution_capability_3,"There is a strong sense of governance for project delivery in the organization. All digital initiatives are delivered through use of an organization-wide agilet methodology. The delivery cycles are within weeks and reworked on a ""trial and error"" approach. Projects are delivered on time, within budget, and to expectation more often than not. ",,,
organization_and_governance_culture_1,"There is a poor collaboration culture, the decisions are made only by very hierarchical committees and there is no empowerment to lower levesl of the organization.
Innovation is perceived as something to be done only by engineers and not as a collective effort of the whole organization.
There is strong paper-based culture and not so much around digital workflows.
The information is kept in silos and departments are refrained to share data on an informal fashion
The organizational culture is perceived as ""hierarchical"": risk-averse, efficient, slow, standard ways of working, decision scalation, reliable, centralised, siloed.
The need for a cultural shift has not yet been recognized.",,,
organization_and_governance_culture_2,"Collaboration is strong however not very efficient as teams are not in the same room but rather scattered in different floors and even different buildings making information exchange not so efficient.
Decisions are based on intelligence allowing the delivery of content and experiences that are personalized and relevant to the customer.
Silos are being tumbled down and automation is widely accepted at all levels of the organization.
The organizational culture is perceived to a certain extent as a  ""startup"": creative, no boundaries, sharing, frentic, continously reinventing the wheel, ad hoc, constantly shifting focus.
There is a recognition for cultural shift.",,,
organization_and_governance_culture_3,"Being digital is about using data to make better and faster decisions, devolving decision making to smaller teams, and developing much more iterative and rapid ways of doing things. 
Cross functional teams share the same rooms fostering creativity 
Thinking in a digital way is not limited to just a handful of functions. It incorporates a broad swath of how the bank operate, including creatively partnering with external companies to extend necessary capabilities. The bank's digital mind-set institutionalizes cross-functional collaboration, flattens hierarchies, and builds environments to encourage the generation of new ideas. Incentives and metrics are developed to support such decision-making agility.
The organizational culture is perceived as ""agile"": quick to mobilize, nimble, collaborative, easy to get things done, responsive, flow of information, quick decision making, empowered to act, resilient, learning from failures.
They are able to support the cultural shift.",,,
organization_and_governance_people_1,"""People is glued to the """"old organization mentality"""", a manager’s status and salary were based on the size of the projects he or she was responsible for and on the number of employees on his or her team. 
People stick to their defined roles and responsibilities and job categories and there is little """"horizontal moves"""" to other areas.
People profile are focused on department tasks.
There is no such a role as a CDO.",,,
organization_and_governance_people_2,"""People work in teams and the teams are very cohesive, allowing team members to have """"veto rights"""" if they feel a candidate will not fit in the team. Teams that are united in a common purpose, interact closely with customers, and are constantly able to reshape what they are working on.
Profiles are more multidisciplinary and people's expertise span to many other knowledge areas, in particular:
- ￼￼Customer experience grounding: ability to design customer- centric experiences throughout customer decision journey
- Market orientation: ability to deeply understand market trends, partner ecosystems, and competitive strategies 
- Business acumen: comfort with business strategy, portfolio prioritization, go to market, pricing, and tracking key perfor- mance indicators and financial metrics
The CDO position can be created depending on the importance given to the Digital Bank unit or the need of digital transformation""",,,
organization_and_governance_people_3,"In an ""agile mentality"" what matters is how people deal with knowledge. A big part of the transformation is about ensuring there is a good mix between different layers of knowledge and expertise.
People's profile is a compendium of multidisciplinar areas of expertise mixing soft and hard skills:
- ￼￼Customer experience grounding: ability to design customer- centric experiences throughout customer decision journey
- Market orientation: ability to deeply understand market trends, partner ecosystems, and competitive strategies 
- Business acumen: comfort with business strategy, portfolio prioritization, go to market, pricing, and tracking key perfor- mance indicators and financial metrics
- Technical skills: ability to go deep on technology trends, architectural questions, stack control points, road maps, and managing development life cycle
- Soft skills: ability to lead teams, communicate with diverse groups, and influence change throughout organization
The CDO position is created showing the importance given to the Digital Bank unit or the need of digital transformation",,,
organization_and_governance_structure_1,"The bank organizational structure reflect a ""bureaucracy"" that follow rules that determine where resources, power, and authority lie, with clear boundaries for each role and an established hierarchy for oversight. The bank is based on traditional hierarchies—boxes and lines on the org chart—typically specify where work gets done and performance is measured, and who’s responsible for awarding bonuses. All this generally involves a boss (or two in matrix organizations), who oversees work and manages direct reports. People is only motivated by extrinsic rewards via payroll and bonuses ",,,
organization_and_governance_structure_2,"The bank organizational structure reflect a ""meritocracy"" where
individual knowledge is privileged. 
The traditional boxes of the org chart tend to change very often but reflect a cross functional organization with some support functions and some customer facing evolving teams. Although teams count much all individuals are assessed individually and they always belong to a business unit. 
Peope tend to be motivated by an interesting work and enabling them to achieve personal mastery in a field of expertise",,,
